champion,picked,side,order,team,enemy,game,position,player,fb,kills,deaths,assists,date,won,time,penta,stage
ALISTAR,False,B,5,PSG,BDS,1,BAN,BAN,False,0,0,0,2023-10-15,True,00:34:24,0,PLAY-INS
RUMBLE,False,R,1,BDS,PSG,1,BAN,BAN,False,0,0,0,2023-10-15,False,00:34:24,0,PLAY-INS
JARVAN IV,False,R,2,BDS,PSG,1,BAN,BAN,False,0,0,0,2023-10-15,False,00:34:24,0,PLAY-INS
NEEKO,False,R,3,BDS,PSG,1,BAN,BAN,False,0,0,0,2023-10-15,False,00:34:24,0,PLAY-INS
RELL,False,R,4,BDS,PSG,1,BAN,BAN,False,0,0,0,2023-10-15,False,00:34:24,0,PLAY-INS
NAUTILUS,False,R,5,BDS,PSG,1,BAN,BAN,False,0,0,0,2023-10-15,False,00:34:24,0,PLAY-INS
RENEKTON,True,B,1,BDS,PSG,2,TOP,ADAM,False,0,2,0,2023-10-15,False,00:28:07,0,PLAY-INS
KALISTA,True,B,2,BDS,PSG,2,ADC,CROWNIE,True,2,4,1,2023-10-15,False,00:28:07,0,PLAY-INS
NAUTILUS,True,B,3,BDS,PSG,2,SUPPORT,LABROV,False,0,4,2,2023-10-15,False,00:28:07,0,PLAY-INS
TALIYAH,True,B,4,BDS,PSG,2,JUNGLE,SHEO,False,0,5,3,2023-10-15,False,00:28:07,0,PLAY-INS
SYNDRA,True,B,5,BDS,PSG,2,MID,NUC,False,1,4,1,2023-10-15,False,00:28:07,0,PLAY-INS
RELL,True,R,1,PSG,BDS,2,SUPPORT,WOODY,False,3,0,10,2023-10-15,True,00:28:07,0,PLAY-INS
KAI'SA,True,R,2,PSG,BDS,2,ADC,WAKO,False,3,0,4,2023-10-15,True,00:28:07,0,PLAY-INS
POPPY,True,R,3,PSG,BDS,2,JUNGLE,JUNJIA,False,0,2,11,2023-10-15,True,00:28:07,0,PLAY-INS
JAX,True,R,4,PSG,BDS,2,TOP,AZHI,False,4,1,2,2023-10-15,True,00:28:07,0,PLAY-INS
AKALI,True,R,5,PSG,BDS,2,MID,MAPLE,False,9,0,4,2023-10-15,True,00:28:07,0,PLAY-INS
RUMBLE,False,B,1,BDS,PSG,2,BAN,BAN,False,0,0,0,2023-10-15,False,00:28:07,0,PLAY-INS
NEEKO,False,B,2,BDS,PSG,2,BAN,BAN,False,0,0,0,2023-10-15,False,00:28:07,0,PLAY-INS
KENNEN,False,B,3,BDS,PSG,2,BAN,BAN,False,0,0,0,2023-10-15,False,00:28:07,0,PLAY-INS
K'SANTE,False,B,4,BDS,PSG,2,BAN,BAN,False,0,0,0,2023-10-15,False,00:28:07,0,PLAY-INS
LEBLANC,False,B,5,BDS,PSG,2,BAN,BAN,False,0,0,0,2023-10-15,False,00:28:07,0,PLAY-INS
ORIANA,False,R,1,PSG,BDS,2,BAN,BAN,False,0,0,0,2023-10-15,True,00:28:07,0,PLAY-INS
XAYAH,False,R,2,PSG,BDS,2,BAN,BAN,False,0,0,0,2023-10-15,True,00:28:07,0,PLAY-INS
MAOKAI,False,R,3,PSG,BDS,2,BAN,BAN,False,0,0,0,2023-10-15,True,00:28:07,0,PLAY-INS
SEJUANI,False,R,4,PSG,BDS,2,BAN,BAN,False,0,0,0,2023-10-15,True,00:28:07,0,PLAY-INS
IVERN,False,R,5,PSG,BDS,2,BAN,BAN,False,0,0,0,2023-10-15,True,00:28:07,0,PLAY-INS
MAOKAI,True,B,1,BDS,PSG,3,JUNGLE,SHEO,False,3,3,15,2023-10-15,True,00:40:35,0,PLAY-INS
KAI'SA,True,B,2,BDS,PSG,3,ADC,CROWNIE,False,5,3,11,2023-10-15,True,00:40:35,0,PLAY-INS
ALISTAR,True,B,3,BDS,PSG,3,SUPPORT,LABROV,False,1,5,18,2023-10-15,True,00:40:35,0,PLAY-INS
OLAF,True,B,4,BDS,PSG,3,TOP,ADAM,False,7,2,7,2023-10-15,True,00:40:35,0,PLAY-INS
AZIR,True,B,5,BDS,PSG,3,MID,NUC,False,8,5,13,2023-10-15,True,00:40:35,0,PLAY-INS
JARVAN IV,True,R,1,PSG,BDS,3,JUNGLE,JUNJIA,False,3,5,9,2023-10-15,False,00:40:35,0,PLAY-INS
RELL,True,R,2,PSG,BDS,3,SUPPORT,WOODY,False,0,5,11,2023-10-15,False,00:40:35,0,PLAY-INS
CAITLYN,True,R,3,PSG,BDS,3,ADC,WAKO,False,5,6,6,2023-10-15,False,00:40:35,0,PLAY-INS
SYLAS,True,R,4,PSG,BDS,3,MID,MAPLE,False,6,4,5,2023-10-15,False,00:40:35,0,PLAY-INS
GNAR,True,R,5,PSG,BDS,3,TOP,AZHI,True,4,4,9,2023-10-15,False,00:40:35,0,PLAY-INS
RUMBLE,False,B,1,BDS,PSG,3,BAN,BAN,False,0,0,0,2023-10-15,True,00:40:35,0,PLAY-INS
KENNEN,False,B,2,BDS,PSG,3,BAN,BAN,False,0,0,0,2023-10-15,True,00:40:35,0,PLAY-INS
NEEKO,False,B,3,BDS,PSG,3,BAN,BAN,False,0,0,0,2023-10-15,True,00:40:35,0,PLAY-INS
JAX,False,B,4,BDS,PSG,3,BAN,BAN,False,0,0,0,2023-10-15,True,00:40:35,0,PLAY-INS
LEBLANC,False,B,5,BDS,PSG,3,BAN,BAN,False,0,0,0,2023-10-15,True,00:40:35,0,PLAY-INS
ORIANA,False,R,1,PSG,BDS,3,BAN,BAN,False,0,0,0,2023-10-15,False,00:40:35,0,PLAY-INS
XAYAH,False,R,2,PSG,BDS,3,BAN,BAN,False,0,0,0,2023-10-15,False,00:40:35,0,PLAY-INS
KALISTA,False,R,3,PSG,BDS,3,BAN,BAN,False,0,0,0,2023-10-15,False,00:40:35,0,PLAY-INS
CASSIOPEIA,False,R,4,PSG,BDS,3,BAN,BAN,False,0,0,0,2023-10-15,False,00:40:35,0,PLAY-INS
JAYCE,False,R,5,PSG,BDS,3,BAN,BAN,False,0,0,0,2023-10-15,False,00:40:35,0,PLAY-INS
MAOKAI,True,B,1,PSG,BDS,4,JUNGLE,JUNJIA,False,3,5,3,2023-10-15,False,00:26:36,0,PLAY-INS
JAYCE,True,B,2,PSG,BDS,4,MID,MAPLE,False,2,5,4,2023-10-15,False,00:26:36,0,PLAY-INS
APHELIOS,True,B,3,PSG,BDS,4,ADC,WAKO,False,1,3,2,2023-10-15,False,00:26:36,0,PLAY-INS
JAX,True,B,4,PSG,BDS,4,TOP,AZHI,False,0,7,3,2023-10-15,False,00:26:36,0,PLAY-INS
ALISTAR,True,B,5,PSG,BDS,4,SUPPORT,WOODY,False,1,5,6,2023-10-15,False,00:26:36,0,PLAY-INS
KAI'SA,True,R,1,BDS,PSG,4,ADC,CROWNIE,True,13,1,4,2023-10-15,True,00:26:36,0,PLAY-INS
IVERN,True,R,2,BDS,PSG,4,JUNGLE,SHEO,False,1,1,16,2023-10-15,True,00:26:36,0,PLAY-INS
NAUTILUS,True,R,3,BDS,PSG,4,SUPPORT,LABROV,False,0,1,16,2023-10-15,True,00:26:36,0,PLAY-INS
CASSIOPEIA,True,R,4,BDS,PSG,4,MID,NUC,False,4,3,9,2023-10-15,True,00:26:36,0,PLAY-INS
GAREN,True,R,5,BDS,PSG,4,TOP,ADAM,False,7,1,5,2023-10-15,True,00:26:36,0,PLAY-INS
ORIANA,False,B,1,PSG,BDS,4,BAN,BAN,False,0,0,0,2023-10-15,False,00:26:36,0,PLAY-INS
XAYAH,False,B,2,PSG,BDS,4,BAN,BAN,False,0,0,0,2023-10-15,False,00:26:36,0,PLAY-INS
KALISTA,False,B,3,PSG,BDS,4,BAN,BAN,False,0,0,0,2023-10-15,False,00:26:36,0,PLAY-INS
OLAF,False,B,4,PSG,BDS,4,BAN,BAN,False,0,0,0,2023-10-15,False,00:26:36,0,PLAY-INS
AZIR,False,B,5,PSG,BDS,4,BAN,BAN,False,0,0,0,2023-10-15,False,00:26:36,0,PLAY-INS
RUMBLE,False,R,1,BDS,PSG,4,BAN,BAN,False,0,0,0,2023-10-15,True,00:26:36,0,PLAY-INS
KENNEN,False,R,2,BDS,PSG,4,BAN,BAN,False,0,0,0,2023-10-15,True,00:26:36,0,PLAY-INS
NEEKO,False,R,3,BDS,PSG,4,BAN,BAN,False,0,0,0,2023-10-15,True,00:26:36,0,PLAY-INS
BRAUM,False,R,4,BDS,PSG,4,BAN,BAN,False,0,0,0,2023-10-15,True,00:26:36,0,PLAY-INS
GNAR,False,R,5,BDS,PSG,4,BAN,BAN,False,0,0,0,2023-10-15,True,00:26:36,0,PLAY-INS
RELL,True,B,1,PSG,BDS,5,SUPPORT,WOODY,False,0,3,7,2023-10-15,False,00:43:49,0,PLAY-INS
APHELIOS,True,B,2,PSG,BDS,5,ADC,WAKO,False,2,2,4,2023-10-15,False,00:43:49,0,PLAY-INS
GNAR,True,B,3,PSG,BDS,5,TOP,AZHI,False,1,3,4,2023-10-15,False,00:43:49,0,PLAY-INS
JARVAN IV,True,B,4,PSG,BDS,5,JUNGLE,JUNJIA,False,1,2,7,2023-10-15,False,00:43:49,0,PLAY-INS
TALIYAH,True,B,5,PSG,BDS,5,MID,MAPLE,True,4,1,4,2023-10-15,False,00:43:49,0,PLAY-INS
MAOKAI,True,R,1,BDS,PSG,5,JUNGLE,SHEO,False,1,1,7,2023-10-15,True,00:43:49,0,PLAY-INS
ALISTAR,True,R,2,BDS,PSG,5,SUPPORT,LABROV,False,0,3,10,2023-10-15,True,00:43:49,0,PLAY-INS
ZERI,True,R,3,BDS,PSG,5,ADC,CROWNIE,False,2,0,8,2023-10-15,True,00:43:49,0,PLAY-INS
DARIUS,True,R,4,BDS,PSG,5,TOP,ADAM,False,2,3,5,2023-10-15,True,00:43:49,0,PLAY-INS
TRISTANA,True,R,5,BDS,PSG,5,MID,NUC,False,6,2,4,2023-10-15,True,00:43:49,0,PLAY-INS
ORIANA,False,B,1,PSG,BDS,5,BAN,BAN,False,0,0,0,2023-10-15,False,00:43:49,0,PLAY-INS
XAYAH,False,B,2,PSG,BDS,5,BAN,BAN,False,0,0,0,2023-10-15,False,00:43:49,0,PLAY-INS
KALISTA,False,B,3,PSG,BDS,5,BAN,BAN,False,0,0,0,2023-10-15,False,00:43:49,0,PLAY-INS
AZIR,False,B,4,PSG,BDS,5,BAN,BAN,False,0,0,0,2023-10-15,False,00:43:49,0,PLAY-INS
CASSIOPEIA,False,B,5,PSG,BDS,5,BAN,BAN,False,0,0,0,2023-10-15,False,00:43:49,0,PLAY-INS
RUMBLE,False,R,1,BDS,PSG,5,BAN,BAN,False,0,0,0,2023-10-15,True,00:43:49,0,PLAY-INS
KENNEN,False,R,2,BDS,PSG,5,BAN,BAN,False,0,0,0,2023-10-15,True,00:43:49,0,PLAY-INS
KAI'SA,False,R,3,BDS,PSG,5,BAN,BAN,False,0,0,0,2023-10-15,True,00:43:49,0,PLAY-INS
NEEKO,False,R,4,BDS,PSG,5,BAN,BAN,False,0,0,0,2023-10-15,True,00:43:49,0,PLAY-INS
LEBLANC,False,R,5,BDS,PSG,5,BAN,BAN,False,0,0,0,2023-10-15,True,00:43:49,0,PLAY-INS
ORIANA,True,B,1,T1,TL,1,MID,FAKER,False,5,4,4,2023-10-19,True,00:36:26,0,SWISS
ASHE,True,B,2,T1,TL,1,ADC,GUMAYUSI,False,3,2,8,2023-10-19,True,00:36:26,0,SWISS
RENATA,True,B,3,T1,TL,1,SUPPORT,KERIA,False,1,2,12,2023-10-19,True,00:36:26,0,SWISS
SEJUANI,True,B,4,T1,TL,1,JUNGLE,ONER,False,0,3,10,2023-10-19,True,00:36:26,0,SWISS
JAYCE,True,B,5,T1,TL,1,TOP,ZEUS,True,6,3,4,2023-10-19,True,00:36:26,0,SWISS
SYNDRA,True,R,1,TL,T1,1,MID,APA,False,5,4,1,2023-10-19,False,00:36:26,0,SWISS
LEE SIN,True,R,2,TL,T1,1,JUNGLE,PYOSIK,False,3,2,7,2023-10-19,False,00:36:26,0,SWISS
APHELIOS,True,R,3,TL,T1,1,ADC,YEON,False,2,2,3,2023-10-19,False,00:36:26,0,SWISS
RELL,True,R,4,TL,T1,1,SUPPORT,COREJJ,False,1,4,6,2023-10-19,False,00:36:26,0,SWISS
K'SANTE,True,R,5,TL,T1,1,TOP,SUMMIT,False,3,3,6,2023-10-19,False,00:36:26,0,SWISS
ZIGGS,False,B,1,T1,TL,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:36:26,0,SWISS
NEEKO,False,B,2,T1,TL,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:36:26,0,SWISS
KALISTA,False,B,3,T1,TL,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:36:26,0,SWISS
KENNEN,False,B,4,T1,TL,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:36:26,0,SWISS
BLITZCRANK,False,B,5,T1,TL,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:36:26,0,SWISS
CAITLYN,False,R,1,TL,T1,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:36:26,0,SWISS
POPPY,False,R,2,TL,T1,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:36:26,0,SWISS
AZIR,False,R,3,TL,T1,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:36:26,0,SWISS
JARVAN IV,False,R,4,TL,T1,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:36:26,0,SWISS
GNAR,False,R,5,TL,T1,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:36:26,0,SWISS
TALIYAH,True,B,1,C9,MAD,1,JUNGLE,BLABER,False,0,0,8,2023-10-19,True,00:30:56,0,SWISS
K'SANTE,True,B,2,C9,MAD,1,MID,EMENES,False,0,0,5,2023-10-19,True,00:30:56,0,SWISS
XAYAH,True,B,3,C9,MAD,1,ADC,BERSERKER,False,5,0,1,2023-10-19,True,00:30:56,0,SWISS
JAX,True,B,4,C9,MAD,1,TOP,FUDGE,False,4,2,3,2023-10-19,True,00:30:56,0,SWISS
ALISTAR,True,B,5,C9,MAD,1,SUPPORT,ZVEN,False,1,1,6,2023-10-19,True,00:30:56,0,SWISS
RAKAN,True,R,1,MAD,C9,1,SUPPORT,HYLISSANG,False,0,2,1,2023-10-19,False,00:30:56,0,SWISS
JARVAN IV,True,R,2,MAD,C9,1,JUNGLE,ELYOYA,False,1,1,2,2023-10-19,False,00:30:56,0,SWISS
EZREAL,True,R,3,MAD,C9,1,ADC,CARZZY,False,1,2,0,2023-10-19,False,00:30:56,0,SWISS
GWEN,True,R,4,MAD,C9,1,TOP,CHASY,True,1,3,1,2023-10-19,False,00:30:56,0,SWISS
SYNDRA,True,R,5,MAD,C9,1,MID,NISQY,False,0,2,0,2023-10-19,False,00:30:56,0,SWISS
IVERN,False,B,1,C9,MAD,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:30:56,0,SWISS
KALISTA,False,B,2,C9,MAD,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:30:56,0,SWISS
AZIR,False,B,3,C9,MAD,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:30:56,0,SWISS
RUMBLE,False,B,4,C9,MAD,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:30:56,0,SWISS
AHRI,False,B,5,C9,MAD,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:30:56,0,SWISS
ORIANA,False,R,1,MAD,C9,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:30:56,0,SWISS
LEBLANC,False,R,2,MAD,C9,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:30:56,0,SWISS
MAOKAI,False,R,3,MAD,C9,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:30:56,0,SWISS
NAUTILUS,False,R,4,MAD,C9,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:30:56,0,SWISS
RELL,False,R,5,MAD,C9,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:30:56,0,SWISS
ALISTAR,True,B,1,GEN,GAM,1,SUPPORT,DELIGHT,False,0,0,16,2023-10-19,True,00:22:31,0,SWISS
VI,True,B,2,GEN,GAM,1,JUNGLE,PEANUT,False,7,2,9,2023-10-19,True,00:22:31,0,SWISS
KAI'SA,True,B,3,GEN,GAM,1,ADC,PEYZ,False,5,1,8,2023-10-19,True,00:22:31,0,SWISS
AHRI,True,B,4,GEN,GAM,1,MID,CHOVY,False,6,0,12,2023-10-19,True,00:22:31,0,SWISS
K'SANTE,True,B,5,GEN,GAM,1,TOP,DORAN,True,4,2,9,2023-10-19,True,00:22:31,0,SWISS
XAYAH,True,R,1,GAM,GEN,1,ADC,SLAYDER,False,0,3,2,2023-10-19,False,00:22:31,0,SWISS
LEE SIN,True,R,2,GAM,GEN,1,JUNGLE,LEVI,False,2,4,2,2023-10-19,False,00:22:31,0,SWISS
NEEKO,True,R,3,GAM,GEN,1,MID,KATI,False,0,3,2,2023-10-19,False,00:22:31,0,SWISS
SETT,True,R,4,GAM,GEN,1,SUPPORT,PALETTE,False,0,5,1,2023-10-19,False,00:22:31,0,SWISS
JAX,True,R,5,GAM,GEN,1,TOP,KIAYA,False,3,7,1,2023-10-19,False,00:22:31,0,SWISS
SYNDRA,False,B,1,GEN,GAM,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:22:31,0,SWISS
KALISTA,False,B,2,GEN,GAM,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:22:31,0,SWISS
MAOKAI,False,B,3,GEN,GAM,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:22:31,0,SWISS
RUMBLE,False,B,4,GEN,GAM,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:22:31,0,SWISS
RENATA,False,B,5,GEN,GAM,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:22:31,0,SWISS
POPPY,False,R,1,GAM,GEN,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:22:31,0,SWISS
RAKAN,False,R,2,GAM,GEN,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:22:31,0,SWISS
ORIANA,False,R,3,GAM,GEN,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:22:31,0,SWISS
TALIYAH,False,R,4,GAM,GEN,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:22:31,0,SWISS
LEBLANC,False,R,5,GAM,GEN,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:22:31,0,SWISS
XAYAH,True,B,1,BDS,JDG,1,ADC,CROWNIE,False,0,2,0,2023-10-19,False,00:27:01,0,SWISS
VI,True,B,2,BDS,JDG,1,JUNGLE,SHEO,False,2,3,4,2023-10-19,False,00:27:01,0,SWISS
RAKAN,True,B,3,BDS,JDG,1,SUPPORT,LABROV,False,0,2,3,2023-10-19,False,00:27:01,0,SWISS
GAREN,True,B,4,BDS,JDG,1,TOP,GAREN,True,2,4,3,2023-10-19,False,00:27:01,0,SWISS
CASSIOPEIA,True,B,5,BDS,JDG,1,MID,NUC,False,2,3,1,2023-10-19,False,00:27:01,0,SWISS
KAI'SA,True,R,1,JDG,BDS,1,ADC,RULER,False,4,0,6,2023-10-19,True,00:27:01,0,SWISS
ALISTAR,True,R,2,JDG,BDS,1,SUPPORT,MISSING,False,0,0,11,2023-10-19,True,00:27:01,0,SWISS
JARVAN IV,True,R,3,JDG,BDS,1,JUNGLE,KANAVI,False,2,3,12,2023-10-19,True,00:27:01,0,SWISS
AHRI,True,R,4,JDG,BDS,1,MID,KNIGHT,False,6,1,4,2023-10-19,True,00:27:01,0,SWISS
ORNN,True,R,5,JDG,BDS,1,TOP,369,False,2,2,11,2023-10-19,True,00:27:01,0,SWISS
KALISTA,False,B,1,BDS,JDG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:27:01,0,SWISS
TALIYAH,False,B,2,BDS,JDG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:27:01,0,SWISS
KENNEN,False,B,3,BDS,JDG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:27:01,0,SWISS
NEEKO,False,B,4,BDS,JDG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:27:01,0,SWISS
RENEKTON,False,B,5,BDS,JDG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:27:01,0,SWISS
DARIUS,False,R,1,JDG,BDS,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:27:01,0,SWISS
ORIANA,False,R,2,JDG,BDS,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:27:01,0,SWISS
MAOKAI,False,R,3,JDG,BDS,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:27:01,0,SWISS
AZIR,False,R,4,JDG,BDS,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:27:01,0,SWISS
OLAF,False,R,5,JDG,BDS,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:27:01,0,SWISS
ORIANA,True,B,1,G2,DK,1,MID,CAPS,False,2,1,8,2023-10-19,True,00:42:08,0,SWISS
DRAVEN,True,B,2,G2,DK,1,ADC,HANS SAMA,True,9,2,4,2023-10-19,True,00:42:08,0,SWISS
MAOKAI,True,B,3,G2,DK,1,JUNGLE,YIKE,False,2,3,9,2023-10-19,True,00:42:08,0,SWISS
RENEKTON,True,B,4,G2,DK,1,TOP,BROKENBLADE,False,3,2,10,2023-10-19,True,00:42:08,0,SWISS
RENATA,True,B,5,G2,DK,1,SUPPORT,MIKYX,False,0,1,12,2023-10-19,True,00:42:08,0,SWISS
ALISTAR,True,R,1,DK,G2,1,SUPPORT,KELLIN,False,1,6,5,2023-10-19,False,00:42:08,0,SWISS
AZIR,True,R,2,DK,G2,1,MID,SHOWMAKER,False,2,2,7,2023-10-19,False,00:42:08,0,SWISS
VARUS,True,R,3,DK,G2,1,ADC,DEFT,False,2,2,2,2023-10-19,False,00:42:08,0,SWISS
RELL,True,R,4,DK,G2,1,JUNGLE,CANYON,False,0,1,8,2023-10-19,False,00:42:08,0,SWISS
JAYCE,True,R,5,DK,G2,1,TOP,CANNA,False,4,5,1,2023-10-19,False,00:42:08,0,SWISS
CAITLYN,False,B,1,G2,DK,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:42:08,0,SWISS
JARVAN IV,False,B,2,G2,DK,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:42:08,0,SWISS
LEE SIN,False,B,3,G2,DK,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:42:08,0,SWISS
VI,False,B,4,G2,DK,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:42:08,0,SWISS
RUMBLE,False,B,5,G2,DK,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:42:08,0,SWISS
KALISTA,False,R,1,DK,G2,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:42:08,0,SWISS
NEEKO,False,R,2,DK,G2,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:42:08,0,SWISS
K'SANTE,False,R,3,DK,G2,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:42:08,0,SWISS
JAX,False,R,4,DK,G2,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:42:08,0,SWISS
PYKE,False,R,5,DK,G2,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:42:08,0,SWISS
POPPY,True,B,1,WBG,NRG,1,JUNGLE,WEIWEI,True,2,0,5,2023-10-19,True,00:29:07,0,SWISS
RUMBLE,True,B,2,WBG,NRG,1,TOP,THESHY,False,0,1,3,2023-10-19,True,00:29:07,0,SWISS
KAI'SA,True,B,3,WBG,NRG,1,ADC,LIGHT,False,7,0,4,2023-10-19,True,00:29:07,0,SWISS
LEONA,True,B,4,WBG,NRG,1,SUPPORT,CRISP,False,0,1,5,2023-10-19,True,00:29:07,0,SWISS
AZIR,True,B,5,WBG,NRG,1,MID,XIAOHU,False,3,1,5,2023-10-19,True,00:29:07,0,SWISS
ALISTAR,True,R,1,NRG,WBG,1,SUPPORT,IGNAR,False,0,3,1,2023-10-19,False,00:29:07,0,SWISS
TALIYAH,True,R,2,NRG,WBG,1,JUNGLE,CONTRACTZ,False,1,3,1,2023-10-19,False,00:29:07,0,SWISS
KALISTA,True,R,3,NRG,WBG,1,ADC,FBI,False,0,2,1,2023-10-19,False,00:29:07,0,SWISS
JAYCE,True,R,4,NRG,WBG,1,MID,PALAFOX,False,2,2,0,2023-10-19,False,00:29:07,0,SWISS
ORNN,True,R,5,NRG,WBG,1,TOP,DHOKLA,False,0,2,1,2023-10-19,False,00:29:07,0,SWISS
NEEKO,False,B,1,WBG,NRG,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
XAYAH,False,B,2,WBG,NRG,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
RELL,False,B,3,WBG,NRG,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
RENEKTON,False,B,4,WBG,NRG,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
K'SANTE,False,B,5,WBG,NRG,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
ORIANA,False,R,1,NRG,WBG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
MAOKAI,False,R,2,NRG,WBG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
VI,False,R,3,NRG,WBG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
NAUTILUS,False,R,4,NRG,WBG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
BLITZCRANK,False,R,5,NRG,WBG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
XAYAH,True,B,1,LNG,FNC,1,ADC,GALA,False,8,1,5,2023-10-19,True,00:29:07,0,SWISS
JARVAN IV,True,B,2,LNG,FNC,1,JUNGLE,TARZAN,True,1,2,18,2023-10-19,True,00:29:07,0,SWISS
RAKAN,True,B,3,LNG,FNC,1,SUPPORT,HANG,False,1,3,12,2023-10-19,True,00:29:07,0,SWISS
AZIR,True,B,4,LNG,FNC,1,MID,SCOUT,False,11,0,7,2023-10-19,True,00:29:07,0,SWISS
JAX,True,B,5,LNG,FNC,1,TOP,ZIKA,False,1,3,7,2023-10-19,True,00:29:07,0,SWISS
RENEKTON,True,R,1,FNC,LNG,1,TOP,OSCARININ,False,0,5,3,2023-10-19,False,00:29:07,0,SWISS
TALIYAH,True,R,2,FNC,LNG,1,JUNGLE,RAZORK,False,5,6,1,2023-10-19,False,00:29:07,0,SWISS
EZREAL,True,R,3,FNC,LNG,1,ADC,NOAH,False,1,2,6,2023-10-19,False,00:29:07,0,SWISS
RELL,True,R,4,FNC,LNG,1,SUPPORT,TRYMBI,False,1,5,5,2023-10-19,False,00:29:07,0,SWISS
JAYCE,True,R,5,FNC,LNG,1,MID,HUMANOID,False,2,4,3,2023-10-19,False,00:29:07,0,SWISS
POPPY,False,B,1,LNG,FNC,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
KALISTA,False,B,2,LNG,FNC,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
LEE SIN,False,B,3,LNG,FNC,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
ALISTAR,False,B,4,LNG,FNC,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
VIEGO,False,B,5,LNG,FNC,1,BAN,BAN,False,0,0,0,2023-10-19,True,00:29:07,0,SWISS
ORIANA,False,R,1,FNC,LNG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
RUMBLE,False,R,2,FNC,LNG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
MAOKAI,False,R,3,FNC,LNG,1,BAN,BAN,False,0,0,0,2023-10-19,False,00:29:07,0,SWISS
